year,country,slug,source,source_type,match,confidence,section,subsection,method,sentence
2023,Afghanistan,afghanistan,nongovernmental organization,unnamed/generic,generic,low,Executive Summary,,rules,"Armed groups threatened, robbed, kidnapped, and attacked foreigners, medical and nongovernmental organization workers, and other civilians."
2023,Afghanistan,afghanistan,United Nations,UN body,gazetteer,high,Section 1. Respect for the Integrity of the Person,a. Arbitrary Deprivation of Life and Other Unlawful or Politically Motivated Killings,rules,"Politically Motivated Killings There were numerous reports that Taliban and ISIS-K members committed arbitrary and unlawful killings, many as retaliation against officials associated with the pre-August 2021 government, according to reports published by the United Nations Assistance Mission in Afghanistan (UNAMA), the UN Special Rapporteur on the situation of human rights in Afghanistan, and multiple human rights groups."
2023,Afghanistan,afghanistan,human rights groups,unnamed/generic,generic,low,Section 1. Respect for the Integrity of the Person,a. Arbitrary Deprivation of Life and Other Unlawful or Politically Motivated Killings,rules,"Politically Motivated Killings There were numerous reports that Taliban and ISIS-K members committed arbitrary and unlawful killings, many as retaliation against officials associated with the pre-August 2021 government, according to reports published by the United Nations Assistance Mission in Afghanistan (UNAMA), the UN Special Rapporteur on the situation of human rights in Afghanistan, and multiple human rights groups."
2023,Afghanistan,afghanistan,Daily Etilaatroz,named (unclassified),pattern,medium,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"On August 12, the Daily Etilaatroz reported a man and a woman were flogged 39 times each at a sports stadium in northern Jawzjan Province for committing adultery."
2023,Afghanistan,afghanistan,International Committee of the Red Cross,international NGO,gazetteer,high,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"The International Committee of the Red Cross reportedly provided three meals per day for up to 12,000 inmates in 2022."
2023,Afghanistan,afghanistan,independent journalists,unnamed/generic,generic,low,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,"On August 11, the Afghan Independent Journalists Union expressed concern over the arrest of Habibullah Sarab, an independent reporter for Ariana TV in Paktia, Jan Agha Saleh, and Faqir Mohammad Faqirzai, reporters from Kilid Radio in Nangarhar."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,It claimed the Taliban provided no reason for arresting the three journalists.
2023,Afghanistan,afghanistan,Situation of Human Rights in Afghanistan Richard Bennett,named (unclassified),pattern,medium,Section 1. Respect for the Integrity of the Person,e. Denial of Fair Public Trial,rules,"In a joint statement issued on January 20, UN Special Rapporteur on the Independence of Judges and Lawyers Margret Satterthwaite and UN Special Rapporteur on the Situation of Human Rights in Afghanistan Richard Bennett noted, “currently in Afghanistan, there are no standardized procedures or substantive statutes in criminal or civil matters that police, judges, or lawyers can follow.” They added, “laws and rules concerning legal procedure, judicial appointment, and procedures for fair trials, which were implemented by the previous government, were suspended."
2023,Afghanistan,afghanistan,activist,unnamed/generic,generic,low,Section 1. Respect for the Integrity of the Person,e. Denial of Fair Public Trial,rules,"On March 23, the Taliban imprisoned Matiullah Wesa, founder of the nonprofit organization Pen Path and a vocal activist who campaigned for the education of girls for more than a decade."
2023,Afghanistan,afghanistan,Both ACLED and UNAMA,named (unclassified),pattern,medium,Section 1. Respect for the Integrity of the Person,i. Conflict-related Abuses,rules,"Both ACLED and UNAMA reported that despite the Taliban’s August 21 amnesty order the Taliban continued to detain, disappear, and kill many former officials."
